,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Don't Leave",Snakehips,83352,https://open.spotify.com/track/0Zx8khUcEfCFK2AEoIhC92
55,Wieso?,Zuna,82213,https://open.spotify.com/track/7mdlZsVJD6HcPuwS3k7e68
56,"An ihnen vorbei","Bonez MC",74806,https://open.spotify.com/track/7istTRCq9OK5cEC8sPAc50
57,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,71465,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
58,"Bad Things (with Camila Cabello)","Machine Gun Kelly",70905,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj
59,"I Got You","Bebe Rexha",70551,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
60,Cocoon,"Milky Chance",70450,https://open.spotify.com/track/0L87MffumRNWrY2SNUFcvs
61,"I Feel It Coming","The Weeknd",69288,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
62,"Let Me Love You","DJ Snake",66048,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
63,Safari,Maxwell,64788,https://open.spotify.com/track/6hjck7ERXicpsW51UkdHCA
64,"Palmen aus Gold","Bonez MC",61145,https://open.spotify.com/track/0t4v7Q4yzb9SOQohayL33W
65,"One Dance",Drake,60981,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
66,Down,"Marian Hill",57931,https://open.spotify.com/track/2dqLk7ezV15LEJEwUmEbXB
67,"10 Jahre",Gzuz,56133,https://open.spotify.com/track/3KbCjPkewCmJt09FYtyVK5
68,"I Would Like","Zara Larsson",54930,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
69,"Fake Love",Drake,52083,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
70,"iSpy (feat. Lil Yachty)",KYLE,51590,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
71,"Dye My Hair",ALMA,49922,https://open.spotify.com/track/5NafFxaLg9Ep21oTHBw7Zq
72,"In the Name of Love","Martin Garrix",49780,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
73,Human,"Rag'n'Bone Man",49515,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O
74,"Would I Lie to You - Radio Edit","David Guetta",49199,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
75,"My Way","Calvin Harris",48799,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
76,Atramis,"Bonez MC",48433,https://open.spotify.com/track/4i9ZRPZbz683dAMVSU4zlm
77,"Cake - Challenge Version","Flo Rida",48380,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
78,Mörder,"Bonez MC",48330,https://open.spotify.com/track/6v6xHeuMLbCuddN0ETrGhs
79,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",48308,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
80,HandClap,"Fitz and The Tantrums",47737,https://open.spotify.com/track/7j56HrjR9cGzvekvZY3Faz
81,"Johnny Däpp","Lorenz Büffel",47625,https://open.spotify.com/track/5Qht2aUJcCjRuhrlHvvKt2
82,"Black Beatles","Rae Sremmurd",47584,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
83,100k,Maxwell,47306,https://open.spotify.com/track/1dAazGFelwADy9weYTniuB
84,"September Song","JP Cooper",46925,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
85,"That's What I Like","Bruno Mars",46545,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
86,"Bounce Back","Big Sean",46195,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
87,Mercy,"Shawn Mendes",45459,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
