,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DNA,"KC Rebell",530183,https://open.spotify.com/track/4BD9yUEFI07WaDJ381DDMq
2,"Gib Ihm","Shirin David",524666,https://open.spotify.com/track/5iIgIxtMNeogKaFUfvuAbs
3,"Capital Bra je m'appelle","Capital Bra",473624,https://open.spotify.com/track/6VMAFT0zfide2Jg8MVZAPz
4,Ferrari,Eno,466211,https://open.spotify.com/track/4AgK0CwpwcekXVdAoYB2VO
5,Prinzessa,"Capital Bra",403152,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
6,Fragen,Azet,398842,https://open.spotify.com/track/26pr9oLIVAc1L62F2exIRT
7,"7 rings","Ariana Grande",303984,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
8,"Hobby Hobby",MERO,303746,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT
9,"Sweet but Psycho","Ava Max",279989,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
10,"Hallo Hallo",Azet,277039,https://open.spotify.com/track/3aYAAXlB1yvUs5MJ0FI3bh
11,"ROMEO & JULIET",Loredana,258712,https://open.spotify.com/track/3uB8KqnEoQq5bTQ1JFHJ7Y
12,Benzema,"Capital Bra",256782,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
13,Leyla,Nimo,233379,https://open.spotify.com/track/08OFGhKf7mK1BGhzMtXaqo
14,JAJA,Fero47,230114,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
15,"Giant (with Rag'n'Bone Man)","Calvin Harris",217754,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
16,Wow.,"Post Malone",216663,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
17,"Speechless (feat. Erika Sirola)","Robin Schulz",216556,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
18,"Baller los",MERO,216343,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9
19,"break up with your girlfriend, i'm bored","Ariana Grande",215062,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
20,"Deine Mutter (feat. Nessi)","Kool Savas",203574,https://open.spotify.com/track/4y8xXLG9O3Rbl6e1KaNRTG
21,Shallow,"Lady Gaga",202689,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
22,"Con Calma","Daddy Yankee",199953,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
23,"500 PS","Bonez MC",198743,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
24,"Look Back at It","A Boogie Wit da Hoodie",189602,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
25,DODI,Shindy,188472,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H
26,"High Hopes","Panic! At The Disco",187410,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
27,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,187336,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
28,"Nur ein Tanz","Pietro Lombardi",186368,https://open.spotify.com/track/6oaNpCVXUtmG0eKxsPO6Uf
29,"Tausend Tattoos",Sido,181048,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
30,"Without Me",Halsey,180980,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
