,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
31,Yapma,"C ARMA",178540,https://open.spotify.com/track/1194zYf7UfSXP4omxVTmPa
32,"Say My Name","David Guetta",163821,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
33,"WTF (feat. Amber Van Day)",HUGEL,160311,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu
34,"G Klasse (feat. Lil Lano & M.O.030)","King Khalil",159493,https://open.spotify.com/track/6Xt6kg1kGrZCi4gJhijxeT
35,"i'm so tired...",Lauv,157322,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
36,Fading,"Alle Farben",149449,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw
37,"bury a friend","Billie Eilish",148260,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
38,"In My Mind",Dynoro,147805,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
39,"5 Minuten (feat. Cro, AnnenMayKantereit, Trettmann)",KitschKrieg,147564,https://open.spotify.com/track/1rciHe0jRJnF3J6CuAwOH0
40,"So Close",NOTD,142073,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
41,"Don't Call Me Up",Mabel,135040,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
42,"Kölsche Jung - Party Edit",Brings,134557,https://open.spotify.com/track/3DQ4U7YOBorXDyaGraMBE7
43,Happier,Marshmello,131789,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
44,"HaifischNikez Allstars",LX,131700,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
45,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",130681,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
46,Cataleya,Samra,129688,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR
47,"Wenn die Sonne untergeht",Azet,126228,https://open.spotify.com/track/23N0z3XkwS2ErcNKsgCWAb
48,"Nur ein Grund (feat. Jah Khalib)","Kontra K",123676,https://open.spotify.com/track/1t7cJh7t5O5pgwkjZJv8pq
49,"Ich liebe es (feat. XATAR & SAMY)","Capital Bra",122844,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn
50,"Let Me Down Slowly","Alec Benjamin",122785,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
51,Kokain,"Bonez MC",116927,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf
52,Hasso,"KC Rebell",116904,https://open.spotify.com/track/3TN6azWcvHM18VxhYVB1AG
53,"Be Alright","Dean Lewis",114004,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
54,Zoey,Nimo,112938,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc
55,"Shem Shem & Sex",Nimo,112814,https://open.spotify.com/track/6ujq8IjOGkbJrp09qarW1E
56,Lelele,Azet,112137,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX
57,Warnung,"Kontra K",110003,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr
58,"Perfekt (feat. Sofiane)","RAF Camora",109899,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr
59,Meer,Luciano,107497,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
60,#niemalsantäuschen,"Farid Bang",107192,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7
61,Moonlight,Gaullin,106876,https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW
62,"Nie mehr Fastelovend",Querbeat,106612,https://open.spotify.com/track/7AAcQMV6Uw3YXt9TTx4b6r
63,"Power Over Me","Dermot Kennedy",105262,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
64,"Body (feat. brando)","Loud Luxury",105187,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
65,Facetime,Dardan,104084,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2
66,"Dancing With A Stranger (with Normani)","Sam Smith",102348,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
67,"Melodien (feat. Juju)","Capital Bra",101928,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
68,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",101582,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
69,Pirate,Kasalla,101338,https://open.spotify.com/track/5e5C8eGXasN7JZApzBfopQ
70,"thank you",Lena,100436,https://open.spotify.com/track/3uCZ4IqMY54A0jxRkyPGPl
71,"Dior 2001",RIN,98474,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73
72,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",97403,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
73,Copacabana,"Leon Machère",96291,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH
74,Push,Kianush,96272,https://open.spotify.com/track/2vwEnjG9FKzafXjZA3Xdyz
75,"Su lang mer noch am Lääve sin - Radio Version",Brings,95846,https://open.spotify.com/track/55aE2SLsS7zrbmCSdUkCZa
76,Feuer,"Capital Bra",95506,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV
77,"Baui Coupé",Diplo,94482,https://open.spotify.com/track/4J2c8Mk8stfWPzt1u0G90W
78,"Keller oder Cockschelle",Mois,93890,https://open.spotify.com/track/4Lvu8RdqSW4uH6SHKgOfKq
79,"thank u, next","Ariana Grande",93797,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
80,"KHABIB (feat. HK)",Gringo,93669,https://open.spotify.com/track/2QPyhgmVuQ9baEval2D46C
81,Robbery,"Juice WRLD",93507,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
82,"MIDDLE CHILD","J. Cole",92992,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
83,"Someone You Loved","Lewis Capaldi",92967,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
84,"Baila Baila Baila",Ozuna,92048,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
85,Neymar,"Capital Bra",91480,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN
86,Casanova,"Summer Cem",91460,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40
87,"Polka, Polka, Polka - Single Version",Brings,90809,https://open.spotify.com/track/6O0OwJjXAnmrevV7Sadhvx
88,"Lambo Diablo GT (feat. Nimo & Juju) - Remix",Capo,89894,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g
89,"Et jitt kein Wood","Cat Ballou",89341,https://open.spotify.com/track/6TmFBRcA3nbLgASXmMz7Ch
90,"Eastside (with Halsey & Khalid)","benny blanco",87951,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
91,Roadrunner,Nimo,86490,https://open.spotify.com/track/5ryCDI7vwLZp2PyHRdXGLC
92,"Genau wie du",MoTrip,86476,https://open.spotify.com/track/5KugP0fInIKgxqymtNIOQC
93,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",86390,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
94,"Like I Love You (feat. The NGHBRS)","Lost Frequencies",86379,https://open.spotify.com/track/30K9xVNSog0DVr5ey5yVoY
95,"BONNIE & CLYDE",Loredana,85963,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
96,UFF,Veysel,85661,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS
97,Trance,Qzeng,84531,https://open.spotify.com/track/5eA0fLfQRw9WuX34ZRPvAT
98,"Who Do You Love","The Chainsmokers",84042,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
99,"Leev Marie",Paveier,83336,https://open.spotify.com/track/6te4u5fA8mtW1DYoB9YV4t
100,Mercedes,Eno,83275,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz
101,"Pure Water (with Migos)",Mustard,83115,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
102,"Calma - Remix","Pedro Capó",80928,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
103,"Let You Love Me","Rita Ora",80914,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
104,"Going Bad (feat. Drake)","Meek Mill",80470,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
105,"Stadt met K",Kasalla,80266,https://open.spotify.com/track/48dosoGX5Bey5mk6BhCgKM
106,"Helikopter 117 (Mach' den Hub Hub Hub)",Tobee,79421,https://open.spotify.com/track/1pMsWnQCaLQvL3O0vaMp5H
107,"Bad Liar","Imagine Dragons",79080,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
108,Superjeilezick,Brings,79005,https://open.spotify.com/track/4rSj0fQAfrDVz7WSEYOOEK
109,"Happy Now",Kygo,78824,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
110,Talk,Khalid,78705,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
111,"Nummer unterdrückt","Bonez MC",78161,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI
112,Allein,"Capital Bra",78094,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px
113,"Was du Liebe nennst",Bausa,78047,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
114,"Better When You're Gone","David Guetta",77687,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
115,"Promises (with Sam Smith)","Calvin Harris",76634,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
116,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",76125,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
117,"Better Now","Post Malone",75537,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
118,"Viva Colonia (Da simmer dabei, dat is prima!)",Höhner,75353,https://open.spotify.com/track/4tNwc7jQ5eqWFGDlX8YBtT
119,"One Night Stand","Capital Bra",75171,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
120,"Poppe, Kaate, Danze - Radio Version",Brings,75136,https://open.spotify.com/track/5FqzgZGAo9XK79jA8nkm0q
121,"rockstar (feat. 21 Savage)","Post Malone",74716,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
122,"Ohne mein Team","Bonez MC",74637,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
123,"SICKO MODE","Travis Scott",74093,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
124,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,73290,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
125,"MIA (feat. Drake)","Bad Bunny",73089,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
126,"Cordula Grün",Josh.,71994,https://open.spotify.com/track/483ykNWhSQXYprueXUMNeo
127,Risiko,"Bonez MC",71960,https://open.spotify.com/track/4HIv1dRF270YMyfvuxnF0d
128,Farben,"Kontra K",71800,https://open.spotify.com/track/6hFmSZIw5gmn9mK4hfqozy
129,"Guten Morgen Barbarossaplatz",Querbeat,71618,https://open.spotify.com/track/7Ifj0WCBgX5uisabg3GkDm
130,Rise,"Jonas Blue",70510,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
131,"Later Bitches","The Prince Karma",69652,https://open.spotify.com/track/2MhnrAz9dreS8zLzEuDflG
132,Abfahrt,"FiNCH ASOZiAL",69242,https://open.spotify.com/track/4Gq7MQyUxW3C7iGWooMffP
133,"Blah Blah Blah","Armin van Buuren",68963,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
134,"Dä Plan",Querbeat,68497,https://open.spotify.com/track/3Wj44AtK8gStaPWY1qJb0A
135,Halleluja,Brings,67542,https://open.spotify.com/track/1WycmGCId2uTQr1xB7Qbl0
136,"Alle Jläser huh",Kasalla,67369,https://open.spotify.com/track/6YqYOnjh0vkMp5cfzKHmbM
137,"Mama Laudaaa",Almklausi,67253,https://open.spotify.com/track/1RcWWgnw5fVm3wcNq11zBu
138,"Saufen morgens, mittags, abends","Ingo ohne Flamingo",66431,https://open.spotify.com/track/1sgKE7YUAhGDLNUU1ByEWu
139,Rooftop,Jamule,66163,https://open.spotify.com/track/5ZTDTDzk3BBV9PME3GCmQZ
140,"Tamam Tamam","Summer Cem",65967,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
141,MILLIONDOLLAR$MILE,Loredana,65441,https://open.spotify.com/track/4nBcGqwztDJ29cyHVJtXsB
142,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",65425,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
143,"Bohemian Rhapsody - 2011 Mix",Queen,65270,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
144,"Taste (feat. Offset)",Tyga,64571,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
145,Money,Luciano,64178,https://open.spotify.com/track/5py5UZlsG3zohEOPrNvOv8
146,"Johnny Däpp","Lorenz Büffel",63550,https://open.spotify.com/track/5Qht2aUJcCjRuhrlHvvKt2
147,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,63490,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
148,"Roli Glitzer Glitzer (feat. Luciano & Eno)","Capital Bra",63481,https://open.spotify.com/track/5P8EPCYTLW2bR4PanlvEpI
149,Nevermind,"Dennis Lloyd",62234,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
150,"Wild Stare","Giant Rooks",61843,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
151,"Girls Like You (feat. Cardi B)","Maroon 5",61603,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
152,"Dat is geil",Brings,61578,https://open.spotify.com/track/55bK00HGvg8rQkKZDGIFnS
153,"Solo (feat. Demi Lovato)","Clean Bandit",60825,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
154,Orbit,"Shirin David",60755,https://open.spotify.com/track/0dUjcVPXy2Npz7RAmylgOS
155,Ballin,Luciano,60415,https://open.spotify.com/track/4PwQl3zVNOg1NUZzTOux8S
156,2002,Anne-Marie,60408,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
157,Tschingderassabum,Querbeat,59992,https://open.spotify.com/track/5qEyqquRgKxpv0VKvcNXbC
158,"Girls Have Fun (feat. G-Eazy & Rich The Kid)",Tyga,59955,https://open.spotify.com/track/1NHlyKgtR4roNylOhidKSv
159,"Walk Me Home",P!nk,59032,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
160,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",58434,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
161,Moonlight,XXXTENTACION,58110,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
162,SAD!,XXXTENTACION,57690,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
163,"Lucid Dreams","Juice WRLD",57096,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
164,"No Sleep (feat. Bonn)","Martin Garrix",57074,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
165,"Ruin My Life","Zara Larsson",56807,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
166,"Man müsste noch mal 20 sein",Brings,56534,https://open.spotify.com/track/56CuqxHdDCQjaQjkunYwO8
167,"No Stylist","French Montana",56223,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
168,"Please Me","Cardi B",56183,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
169,"Batman (feat. Jamule)","Kool Savas",56085,https://open.spotify.com/track/4kNVt4uMKI9x53wnuYfWd3
170,"Valentino Camouflage",Luciano,55815,https://open.spotify.com/track/0RMrNZG8THmtHXU90tfsQY
171,"Why so Serious","Alice Merton",55145,https://open.spotify.com/track/1FBzp2RXC04zE31DSCOqAY
172,"Bones (feat. OneRepublic)",Galantis,54738,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
173,"Crack, Koks, Piece Unternehmen",Nash,54694,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a
174,lovely,"Billie Eilish",54499,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
175,"Bella ciao - HUGEL Remix","El Profesor",54295,https://open.spotify.com/track/1MFSD0AkPk8Yq7TDEhrHcb
176,Thotiana,Blueface,54185,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
177,Knöcheltief,Trettmann,53863,https://open.spotify.com/track/7AwPgamlOy97TfTIXDvb4S
178,"PARANOIA2 (feat. Bausa)",reezy,53823,https://open.spotify.com/track/1UHeAx4uLuN9adiAOoxDPn
179,Senorita,"Kay One",53528,https://open.spotify.com/track/5mkBSuxDpC0m5tudoaIbVR
180,Hulapalu,"Andreas Gabalier",53519,https://open.spotify.com/track/627QU4vNG3alCWCK1FMeLK
181,Natural,"Imagine Dragons",53454,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
182,"Nur nicht aus Liebe weinen",Brings,53112,https://open.spotify.com/track/4N7OqQ2TbdYEia0jHFanR1
183,"Inshallah (feat. Capital Bra)",Bushido,53080,https://open.spotify.com/track/3nwG4L1J4a8MXq4R01Hilb
184,Vagabund,Bausa,52615,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB
185,"bad idea","Ariana Grande",52424,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
186,"a lot","21 Savage",52207,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
187,"when the party's over","Billie Eilish",52122,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
188,KIKA,6ix9ine,52071,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
189,Magisch,Olexesh,51981,https://open.spotify.com/track/4gnuy9VBU2GGrN60UMB79t
190,"In the End","Linkin Park",51885,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
191,"Was ich meine",Nura,51755,https://open.spotify.com/track/1aKQsb1C5ZcrXEhp1pvTvv
192,Penthouse,Eno,51752,https://open.spotify.com/track/1hYr1CRD22M1uHr0aPCEGm
193,Mula,Mert,51544,https://open.spotify.com/track/06xtJscJRJBZjTThCy46iq
194,Habibo,Veysel,51370,https://open.spotify.com/track/3sRndoHhqNPrcrgEIdHs8V
195,"Love Someone","Lukas Graham",51323,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
196,"Fame (feat. RAF Camora)","Kontra K",51116,https://open.spotify.com/track/1imtCbjVIxYIkurjkye7Dg
197,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",LEA,50811,https://open.spotify.com/track/5psDugCQ2V8uayDeSuTvdD
198,"Last Hurrah","Bebe Rexha",50713,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
199,365,Zedd,50615,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
200,SWISH,Tyga,50332,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
