,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,320411,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Magisch,Olexesh,305207,https://open.spotify.com/track/5hqelGWfhBo8On7e7Kk5HD
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",268350,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,FRIENDS,Marshmello,259707,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
5,"Sick Boy","The Chainsmokers",248072,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
6,"These Days",Rudimental,239852,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
7,"Was du Liebe nennst",Bausa,223825,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
8,"River (feat. Ed Sheeran)",Eminem,221000,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
9,IDGAF,"Dua Lipa",197998,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
10,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",192231,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
11,Corleone,"RAF Camora",191452,https://open.spotify.com/track/5muvgRZXDU9DBmKcOolqkw
12,Balenciaga,Ufo361,179524,https://open.spotify.com/track/3H8n2CHfv2tV1UYsIO0OwG
13,Rooftop,"Nico Santos",170533,https://open.spotify.com/track/637yH6Qs3wXdgjPjO7QGdr
14,"Leave a Light On","Tom Walker",169445,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
15,"Beverly Hills",Ufo361,169329,https://open.spotify.com/track/0FJeo3KAJ5on89PXmo3FiG
16,rockstar,"Post Malone",167224,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
17,"Him & I (with Halsey)",G-Eazy,166516,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
18,"All The Stars (with SZA)","Kendrick Lamar",165789,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
19,Mine,Bazzi,159746,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
20,Crazy,"Lost Frequencies",158570,https://open.spotify.com/track/1ZtEZjYb4e0V0gqwRYeeAY
21,"Tip Toe (feat. French Montana)","Jason Derulo",157910,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
22,"So Far Away (feat. Jamie Scott & Romy Dya)","Martin Garrix",157499,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
