,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
23,"Qa bone",Azet,151543,https://open.spotify.com/track/6X0pg9AHaLYLq8Cy5j8Suz
24,"The Middle",Zedd,149100,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
25,"Let You Down",NF,148901,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
26,Breathe,"Jax Jones",143470,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
27,Leiser,LEA,143247,https://open.spotify.com/track/4k5ripwnTRXiOzXUEGhXSz
28,"Ti amo",Veysel,142463,https://open.spotify.com/track/66bsUCJWoy09bpuljIXumf
29,"Havana (feat. Young Thug)","Camila Cabello",141474,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
30,"Pray For Me (with Kendrick Lamar)","The Weeknd",140986,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
31,"Say Something","Justin Timberlake",140714,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
32,"Love Lies (with Normani)",Khalid,135091,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
33,"Échame La Culpa","Luis Fonsi",133089,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
34,"Chabos wissen wer der Babo ist (feat. Nimo, Luciano, Soufian, Eno) - Young Babos Remix",Haftbefehl,131372,https://open.spotify.com/track/4lRuHiE5knmoHcMaNhW0me
35,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",125344,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV
36,"Capital Letters","Hailee Steinfeld",124687,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
37,Wolves,"Selena Gomez",122976,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
38,"¿ Was hast du gedacht ?",Gzuz,121277,https://open.spotify.com/track/3KfgsB1luDK9XHJ8e4Hx6h
39,Dreamer,"Axwell /\ Ingrosso",117865,https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
40,Primo,"RAF Camora",116746,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
41,"Airmax gegen Kopf",Dardan,116152,https://open.spotify.com/track/4vOVlcGbOLDYlYIpZkU6VU
42,"More Than Friends","James Hype",115879,https://open.spotify.com/track/53SnCRcGrB2UCqNGyYZhJD
43,"Réseaux - K¡K¡ Remix",Niska,112089,https://open.spotify.com/track/3BORnh3lPd7UbhdFh9Bcsf
44,"Sag Nix","RAF Camora",110188,https://open.spotify.com/track/0tW4YbVJ0z6CeQjYBFd09V
45,"I Miss You (feat. Julia Michaels)","Clean Bandit",109434,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
46,Anywhere,"Rita Ora",107542,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
47,"Never Be the Same","Camila Cabello",105041,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
48,Silence,Marshmello,104154,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
49,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",103275,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
50,"Look Alive (feat. Drake)","BlocBoy JB",96622,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
51,"Gotham City","RAF Camora",95061,https://open.spotify.com/track/2axf5shPhjS8qdaGr5MWaS
52,Perfect,"Ed Sheeran",89502,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
53,"Katchi - Ofenbach vs. Nick Waterhouse",Ofenbach,88899,https://open.spotify.com/track/2NF8A7C6tICScdRaZ0BrEe
54,Heaven,"Julia Michaels",88305,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
55,Naked,"James Arthur",88254,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
56,"Mama ist nicht stolz","18 Karat",87868,https://open.spotify.com/track/6BpW3ZmHrfbFaiPrwuMjPk
57,"More Than You Know","Axwell /\ Ingrosso",84493,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
58,"New Rules","Dua Lipa",83398,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
59,"Shape of You","Ed Sheeran",79719,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
60,"Whatever It Takes","Imagine Dragons",79232,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
61,"Feel It Still","Portugal. The Man",75318,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
62,Waffen,"RAF Camora",71652,https://open.spotify.com/track/27CUvggbN4O6ASZEsExeAi
63,Stargazing,Kygo,71184,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
64,"Ohne mein Team","Bonez MC",70739,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
65,Barking,Ramz,70175,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
66,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",69815,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
67,Senorita,"Kay One",68760,https://open.spotify.com/track/5OHOykHs3Ct2pgbqod8uMD
68,"Kleiner Cabrón",Veysel,68692,https://open.spotify.com/track/18B8O0dI8RANa7Kx9vyemO
69,Bombay,JAZN,68594,https://open.spotify.com/track/3DtSEQk9ffHw87Ayfk8KXQ
70,AMG2,"Azzi Memo",68235,https://open.spotify.com/track/2xYoWWLcFjYQsEvsKqof3P
71,"Mad Love","Sean Paul",68179,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
72,"Heute mit mir",Nimo,67406,https://open.spotify.com/track/7fUWZUNj5qbEuoL6K9947g
73,"9 Milly",Azet,66956,https://open.spotify.com/track/2vIZ2BKgzCFPF2qqUXVS3R
74,"Handschellen (feat. Ardian Bujupi)",Payy,66790,https://open.spotify.com/track/4dL59MdDzLINk1Sq04y9Cf
75,"Bum Bum Tam Tam","MC Fioti",66761,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
76,"Finesse - Remix; feat. Cardi B","Bruno Mars",66298,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
77,Knöcheltief,Trettmann,65603,https://open.spotify.com/track/1qfM92o8OuFfWouqqfUBF8
78,"Ketten Cartier",Azet,65444,https://open.spotify.com/track/3bMNtFiYXbG8cQy65AvKPf
79,"Feel Good","Felix Jaehn",65107,https://open.spotify.com/track/6ULQ6ZRc7JuVutRMy6gfgc
80,"Friends (with BloodPop®)","Justin Bieber",64374,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
81,Thunder,"Imagine Dragons",63215,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
82,"Bon Voyage","Miami Yacine",62984,https://open.spotify.com/track/1VfSu8qtTf5PMi3d8XVZGj
83,"Like I Do","David Guetta",62881,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
84,Dura,"Daddy Yankee",61894,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
85,"Dusk Till Dawn - Radio Edit",ZAYN,61404,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
86,"Stir Fry",Migos,61307,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
87,Kontrollieren,"RAF Camora",60941,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
88,"Cool (feat. Marc E. Bassy, Gucci Mane)","Felix Jaehn",58964,https://open.spotify.com/track/3vwVxnq3vQ6NxGVxaiuteR
89,"Olé Olé","Capital Bra",58020,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
90,"Man's Not Hot","Big Shaq",57192,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
91,Bros,RIN,57169,https://open.spotify.com/track/0mG6upCcUF0Qvq08FnjRDZ
92,"Wohin willst du","Gestört aber GeiL",56237,https://open.spotify.com/track/51WUacrCkukxCgym463uNN
93,Millionär,"187 Strassenbande",55810,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
94,"Monica Bellucci",RIN,55481,https://open.spotify.com/track/6PGFzy8ZC4rYbx1dyP3dQi
95,Unforgettable,"French Montana",55220,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
96,"I Fall Apart","Post Malone",54196,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
97,"Lonely Together (feat. Rita Ora)",Avicii,53623,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
98,"I Like Me Better",Lauv,53499,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
99,"What Lovers Do (feat. SZA)","Maroon 5",53282,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
100,"Von Party zu Party",SXTN,52915,https://open.spotify.com/track/4h6UIDvGWTYZvu4BLf2GpO
101,"Lambo Diablo GT (feat. Nimo)",Capo,52436,https://open.spotify.com/track/6HxFJbQahRd5rWQ752D710
102,"Peter Pan 2",Fard,52394,https://open.spotify.com/track/6gpfBX8RJZuCfaDrC9qpNA
103,Believer,"Imagine Dragons",51348,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
104,"Wie Falco",Nimo,51346,https://open.spotify.com/track/6ZyLo7sln0QFP7YXqgXCU8
105,Lampedusa,YONII,51222,https://open.spotify.com/track/111SUuReUmF6DtYFBWDLLQ
106,MOB,Olexesh,50707,https://open.spotify.com/track/2TKXBTeElco8EEnXtRkFdQ
107,"Zieh' den Rucksack aus",Kollegah,50580,https://open.spotify.com/track/6F0fXw4G0dqRWJnvWPZM67
108,"Is It Love? (feat. Kool Savas)","Rea Garvey",50538,https://open.spotify.com/track/422iWQb30fYWnizucb5Tf2
109,"I Believe I'm Fine","Robin Schulz",50015,https://open.spotify.com/track/2i3WO0WkrlnrA1I4GdUmxh
110,"This Is Me","Keala Settle",49578,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
111,"Nice Girl 2.0",Ufo361,49155,https://open.spotify.com/track/607TgBgbTvP8CTgIHN0R6q
112,"Rewrite The Stars","Zac Efron",49151,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
113,Bongzimmer,SXTN,48972,https://open.spotify.com/track/5peJfpkLPMilv44VqUa2AS
114,"Andere Liga","RAF Camora",48747,https://open.spotify.com/track/2NWZiXyRdKEolP8QrjBGmp
115,"Soldaten 2.0","Kontra K",48676,https://open.spotify.com/track/5RddxRDhCIcp8u8P5sV6n2
116,"XO Tour Llif3","Lil Uzi Vert",48185,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
117,Vorankommen,Luciano,48116,https://open.spotify.com/track/1jaVHAdoEONRCrcNvRtCFY
118,"Nummer 1",Zuna,48105,https://open.spotify.com/track/3sgGmPQD2J6aQduN36RDBO
119,"Late Check-Out",Fler,47612,https://open.spotify.com/track/2uu5nec4ojvPt0LE2qsw0t
120,Murcielago,"KC Rebell",47513,https://open.spotify.com/track/39qlqpwVzRkQP6WsILfIB5
121,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",47276,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
122,"Na Na Na","Capital Bra",46048,https://open.spotify.com/track/3xZAsF5FS5WgT4UDFXYJxx
123,"Solo Dance","Martin Jensen",45469,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
124,"Belle Etage 2.0 (feat. reezy)",Bausa,44661,https://open.spotify.com/track/4ZYGWjyAsl5TqyaQVNjF4e
125,"Too Good At Goodbyes","Sam Smith",44591,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
126,,,44485,https://open.spotify.com/track/5rbXOUQCaYcSnW5EOgfVaD
127,Mama,"Jonas Blue",44292,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
128,"Saufen morgens, mittags, abends","Ingo ohne Flamingo",44237,https://open.spotify.com/track/1ORfyWYhDPxCAIZ9Ce78A3
129,"Palmen aus Plastik","Bonez MC",43976,https://open.spotify.com/track/6wHRm1KR8pzVDPdmR6Qovj
130,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,43672,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
131,OK,"Robin Schulz",43612,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
132,"Mi Gente","J Balvin",43459,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
133,Gottseidank,Trettmann,43051,https://open.spotify.com/track/4FwwXRuwzJcpmfCR8ltO9b
134,Habibi,"Moe Phoenix",42904,https://open.spotify.com/track/1bAz8BCBuY5peGKEPw8QOG
135,"Ya Salam",Kurdo,42539,https://open.spotify.com/track/5fpujciVjGBhnR2XFx06E7
136,Kogong,"Mark Forster",42192,https://open.spotify.com/track/2rv1aetlu3MEQ5sJWJuMG1
137,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",41713,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
138,"You Let Me Walk Alone","Michael Schulte",41631,https://open.spotify.com/track/1i31AKvYOI4b5FCU1cEHqU
139,"'Till I Collapse",Eminem,41580,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
140,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)","Felix Jaehn",41513,https://open.spotify.com/track/6nvpJPsnsLSuJM10wg0qJ1
141,"Something Just Like This","The Chainsmokers",41376,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
142,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",41240,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
143,"In the End","Linkin Park",40867,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
144,"Without You (feat. Sandro Cavazza)",Avicii,40851,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
145,"All Falls Down (feat. Juliander)","Alan Walker",40766,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
146,"Glorious (feat. Skylar Grey)",Macklemore,40764,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
147,"Rich Love (with Seeb)",OneRepublic,40730,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
148,"Your Song","Rita Ora",40712,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
149,"How Long","Charlie Puth",40547,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
150,"Komm ins Cafe 2 (feat. Farid Bang)","18 Karat",40502,https://open.spotify.com/track/5daPTPtcS7LZMDRVPbOZwo
151,"No Limit",G-Eazy,40301,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
152,Chardonnay,"Joshi Mizu",40217,https://open.spotify.com/track/3ZlnjH0lEMZHMdviRPyG34
153,"I Know You","Craig David",39586,https://open.spotify.com/track/5lRzEC0Hyj92nEr9JkDxM2
154,Baron,Bausa,39427,https://open.spotify.com/track/3LMzA1b0EPZOs9kLvF77HE
155,"Zigarren Havanna - KMN Street EP.2",Azet,39323,https://open.spotify.com/track/6ET5DRhoyIOUETNyDcGtk6
156,"Wonderwall - Remastered",Oasis,39255,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
157,FML,Bausa,39139,https://open.spotify.com/track/1SJujqhfev83oHNuMrTast
158,Congratulations,"Post Malone",39112,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
159,"Mit den Jungz","187 Strassenbande",39063,https://open.spotify.com/track/3aDYo34VzVf2i8aJyJk0ca
160,"Mon chéri",Capo,38665,https://open.spotify.com/track/4vN2F1v7WphIUva3S6hwaT
161,Telefon,Dardan,38630,https://open.spotify.com/track/1SkeK7yhwSkCUkbAG9604j
162,Hot2Touch,"Felix Jaehn",38466,https://open.spotify.com/track/0m6M0TRGs7dOqZAryYcwiH
163,HUMBLE.,"Kendrick Lamar",38287,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
164,Questions,"Chris Brown",38226,https://open.spotify.com/track/3ojTJaonfkL96iIWa47SU3
165,"Check ich nicht",Mosh36,38164,https://open.spotify.com/track/46qCFvbRmCK5QPpMNM8Alo
166,Lullaby,Sigala,37842,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR
167,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",37842,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
168,Spotlight,Marshmello,37785,https://open.spotify.com/track/6VrCmhRBFnuGKmtNfk4jDs
169,Rotterdam,"Miami Yacine",37744,https://open.spotify.com/track/2YG72tZyGOtbNsDTBhRLlL
170,Check,Eunique,37594,https://open.spotify.com/track/52JUMGIouJyUYN5I5uC9Ea
171,"Strip That Down","Liam Payne",37303,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
172,AMG,Fler,37159,https://open.spotify.com/track/67m9pQTDkmKFdmqgi1E6YO
173,"Galway Girl","Ed Sheeran",36786,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
174,,,36653,https://open.spotify.com/track/5cjecvX0CmC9gK0Laf5EMQ
175,"You Owe Me","The Chainsmokers",36616,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel
176,"Last Resort","Papa Roach",36506,https://open.spotify.com/track/5eek2X5459T1HoYJk2CKXv
177,"One Dance",Drake,36173,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
178,"Dangerous Night","Thirty Seconds To Mars",36115,https://open.spotify.com/track/3tFXKG42xSRdOrf6TrDBF8
179,Anyway,"Tyron Hapi",35849,https://open.spotify.com/track/77ngtwBosDuAwiQu8afOOQ
180,"Gucci Gang","Lil Pump",35685,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
181,Gopnik,Olexesh,35506,https://open.spotify.com/track/0KR3kva01902glhgaqlzp0
182,"44 More",Logic,35107,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
183,"Nur noch Gucci","Capital Bra",34860,https://open.spotify.com/track/6zxFyURXhsMwwkLQGZbzBw
184,Unforgettable,"Robin Schulz",34856,https://open.spotify.com/track/3rvEwBi1mFFHqCnkrGmnWp
185,Numb,"Linkin Park",34831,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
186,"Summer Air",ItaloBrothers,34826,https://open.spotify.com/track/0V9cosR5jWa4fr2koARmhD
187,"Unterwegs (feat. Capital Bra)",Bausa,34342,https://open.spotify.com/track/29MUMRgt5eJa5YdZj4s7vT
188,Heroin,"Ali As",34125,https://open.spotify.com/track/4INWROPw3iaRERFlVp0fGP
189,,,34058,https://open.spotify.com/track/34IY2117PizF4NoRPoMth6
190,"Symphony (feat. Zara Larsson)","Clean Bandit",33933,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
191,Attention,"Charlie Puth",33789,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
192,Safari,Maxwell,33754,https://open.spotify.com/track/6hjck7ERXicpsW51UkdHCA
193,"Cola - Robin Schulz Remix",CamelPhat,33635,https://open.spotify.com/track/7hhpH9L5L6jBTimrATV7fS
194,"Run to You","Tom Gregory",33538,https://open.spotify.com/track/6wlrwSymAy10iF5Kwe159C
195,"What About Us",P!nk,33375,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
196,,,33201,https://open.spotify.com/track/1xSTaiXN33Y5chE2bFixVo
197,"Alles probiert","RAF Camora",33033,https://open.spotify.com/track/4NrwzWgZfNHb7dpNrEEQqX
198,"Komm wir chillen (feat. Yonii & Bausa)",Capo,32996,https://open.spotify.com/track/4BtGQ89Xgmf9NmnFD9RBRc
199,"Mask Off",Future,32980,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx
200,"Ric Flair Drip (& Metro Boomin)",Offset,32879,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
