,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,Weak,AJR,103517,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
56,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,101597,https://open.spotify.com/track/0ihguwGVwKihJ1Nj8fGQlY
57,"That's What I Like","Bruno Mars",100923,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
58,"Safe Inside","James Arthur",96248,https://open.spotify.com/track/5ooilrQAnOJbUjq7IDm8lY
59,"By Your Side","Jonas Blue",94017,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j
60,"Stay (with Alessia Cara)",Zedd,93343,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
61,"Blinded By Your Grace, Pt. 1",Stormzy,93048,https://open.spotify.com/track/5hzBiEGCC6IUzIImitWJKy
62,"100 Bags",Stormzy,92790,https://open.spotify.com/track/73aLFMrJu7YX7IMaNlo8Ln
63,Samantha,Dave,92681,https://open.spotify.com/track/4YLzVD32aMH4qgSsSPtNbl
64,"You Want Me (feat. Sadie Ama)","Tom Zanetti",89526,https://open.spotify.com/track/4xX7OsX8XTGWJgRxNNIaFT
65,"Shout Out to My Ex","Little Mix",89461,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g
66,"The Mack",Nevada,89408,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO
67,"Don't Cry For Me (feat. Raleigh Ritchie)",Stormzy,89345,https://open.spotify.com/track/2IqJgAu14XDs35mW0j0WFK
68,"The Sound","The 1975",87967,https://open.spotify.com/track/316r1KLN0bcmpr7TZcMCXT
69,"21 Gun Salute (feat. Wretch 32) - Interlude",Stormzy,86957,https://open.spotify.com/track/71GOBk9Dj0NEYNLzLCX4Sq
70,"Lay Me Bare",Stormzy,84025,https://open.spotify.com/track/74VYXs1E4G8IN8upYqG4Ek
71,"Don't Wanna Know","Maroon 5",83157,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
72,"24K Magic","Bruno Mars",80585,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
73,Oops,"Little Mix",80333,https://open.spotify.com/track/37xcWhVKQ99uuiA5Y4yapi
74,Starving,"Hailee Steinfeld",77140,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
75,Photograph,"Ed Sheeran",75971,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
76,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",71029,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
77,"Move Your Body - Single Mix",Sia,70783,https://open.spotify.com/track/7ynCQo1KpBOyTdTdAnjSLZ
78,"Thinking out Loud","Ed Sheeran",69467,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
79,"Mr. Brightside","The Killers",68015,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
80,"After the Afterparty (feat. Lil Yachty)","Charli XCX",67815,https://open.spotify.com/track/0y8Wf6ltWpGCpgqVa21QNX
81,"Bounce Back","Big Sean",67379,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
82,"Shining (feat. Beyoncé & Jay-Z)","DJ Khaled",66996,https://open.spotify.com/track/3OoZagIW3YK8vjt0ws6NOI
83,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",66867,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
84,"My Way","Calvin Harris",66816,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm
85,"Let Me Love You","DJ Snake",63328,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
86,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",63015,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
87,Controlla,Drake,61808,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
88,"iSpy (feat. Lil Yachty)",KYLE,61727,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
89,"Play That Song",Train,60796,https://open.spotify.com/track/77hjM9bMmgfTGJXv14UFmi
