,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
33,Robbery,"Juice WRLD",136110,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
34,"Kitchen Kings","D-Block Europe",132747,https://open.spotify.com/track/1RJHieKAxYz9qbREvOR5eA
35,"Promises (with Sam Smith)","Calvin Harris",131853,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
36,bloodline,"Ariana Grande",131837,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
37,needy,"Ariana Grande",130956,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
38,Grace,"Lewis Capaldi",129732,https://open.spotify.com/track/4eQBL0cuF3ismYCzBff2Ii
39,Play,"Jax Jones",129107,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5
40,"Better Now","Post Malone",128603,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
41,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",124332,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
42,NASA,"Ariana Grande",124262,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
43,"Please Me","Cardi B",123612,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
44,"Funky Friday",Dave,119667,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO
45,"a lot","21 Savage",117668,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
46,"Taste (feat. Offset)",Tyga,117520,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
47,"Body (feat. brando)","Loud Luxury",116424,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
48,Undecided,"Chris Brown",115108,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
49,imagine,"Ariana Grande",111096,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
50,"Bohemian Rhapsody - 2011 Mix",Queen,109615,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
51,"Think About Us (feat. Ty Dolla $ign)","Little Mix",103769,https://open.spotify.com/track/18n2GdCpsHYzkbMKPavE7Y
52,"Psych Out!","AJ Tracey",103419,https://open.spotify.com/track/0S8DTkU0iMopIw1Uq1nQ49
53,"Saturday Nights",Khalid,101651,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
54,Bally,Swarmz,99045,https://open.spotify.com/track/1AvLAAXMtq7IGi48x9TrD7
55,"Lucid Dreams","Juice WRLD",95842,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,"fake smile","Ariana Grande",94441,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
57,"rockstar (feat. 21 Savage)","Post Malone",93445,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
58,"Who Do You Love","The Chainsmokers",93284,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
59,"when the party's over","Billie Eilish",91152,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
60,"One Kiss (with Dua Lipa)","Calvin Harris",89272,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
61,"Look Back at It","A Boogie Wit da Hoodie",89213,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
62,"Girls Need Love (with Drake) - Remix","Summer Walker",88489,https://open.spotify.com/track/0mfCH4nfpshBQR9ueZP5eP
63,lovely,"Billie Eilish",86828,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
64,Better,Khalid,86414,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
65,"This Is Me","Keala Settle",86223,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
66,2002,Anne-Marie,86169,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
67,Black,Dave,85698,https://open.spotify.com/track/2IzjEAXzEYu5jYpAbiRxTk
68,"Hello My Love",Westlife,85591,https://open.spotify.com/track/4EtIza2cKMmR2XP7idebXG
69,"Leave Me Alone","Flipp Dinero",84830,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
70,Breathe,CamelPhat,84661,https://open.spotify.com/track/6TR0FGw4zhlGbQALN065AI
71,"Mr. Brightside","The Killers",84215,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
72,"Butterflies (feat. Not3s)","AJ Tracey",83918,https://open.spotify.com/track/4hGsbyf3p0U5mlJTJwiUTq
73,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",83707,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
74,"One Drink","Picture This",83469,https://open.spotify.com/track/7ITXKzRU7eqcRwF2YXZj8b
75,Bruises,"Lewis Capaldi",83324,https://open.spotify.com/track/7x91w5f5x7UayENcGAP5i2
76,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,82972,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
77,"Hold My Girl","George Ezra",82704,https://open.spotify.com/track/42bbDWZ8WmXTH7PkYAlGLu
78,"Mo Bamba","Sheck Wes",81705,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
79,"The Greatest Show","Hugh Jackman",81318,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
80,"Be Alright","Dean Lewis",80395,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
81,ghostin,"Ariana Grande",80012,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB
82,"Pure Water (with Migos)",Mustard,80006,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
83,SAD!,XXXTENTACION,79980,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
84,"Swan Song","Dua Lipa",79102,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
85,"Lost Without You","Freya Ridings",78413,https://open.spotify.com/track/6EelrDeZGS0Z81NhXevtrJ
86,Paradise,"George Ezra",78209,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
87,BABY,Giggs,77818,https://open.spotify.com/track/0LiIvnK432UKVCPOkSUnJJ
88,"Ruin My Life","Zara Larsson",77668,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
89,"no tears left to cry","Ariana Grande",77631,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
90,"Let Me Down Slowly","Alec Benjamin",77612,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
91,"Nice For What",Drake,77346,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
92,Thursday,"Jess Glynne",77155,https://open.spotify.com/track/3ji4bcQugJj5B6NRGYDNwP
93,"I Fall Apart","Post Malone",77041,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
94,Dakota,Stereophonics,76906,https://open.spotify.com/track/3qaSqrrevBrb84xl5JlptU
95,"Back & Forth",MK,76863,https://open.spotify.com/track/4M8x1TR36VMQMFMbGCdoyA
96,"Let You Love Me","Rita Ora",76635,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
97,"Leave a Light On","Tom Walker",76609,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
98,Nonstop,Drake,75098,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
99,"Just Got Paid",Sigala,74840,https://open.spotify.com/track/5CpkVOosLFc83LbwqO6hnI
100,Youngblood,"5 Seconds of Summer",74648,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
101,"God's Plan",Drake,74541,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
102,"18HUNNA (feat. Dave)","Headie One",74055,https://open.spotify.com/track/0G1GIn5gGoe5iLHvVC5FM0
103,Longshot,"Catfish and the Bottlemen",73922,https://open.spotify.com/track/1Yi8XPnCPoimWwqxwm3uz9
104,"Woman Like Me (feat. Nicki Minaj)","Little Mix",73474,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
105,"Don't Stop Me Now - 2011 Mix",Queen,73285,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
106,"Rewrite The Stars","Zac Efron",73183,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
107,"Always Remember Us This Way","Lady Gaga",73110,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
108,"In My Mind",Dynoro,72492,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
109,"Psycho (feat. Ty Dolla $ign)","Post Malone",72479,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
110,"No Stylist","French Montana",72157,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
111,"In My Feelings",Drake,72133,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
112,"I'll Be There","Jess Glynne",71888,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ
113,"Con Calma","Daddy Yankee",71867,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
114,365,Zedd,70221,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
115,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",69692,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
116,"Lost in the Fire",Gesaffelstein,68731,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
117,"A Million Dreams","Ziv Zaifman",68703,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
118,"Almost (Sweet Music)",Hozier,68619,https://open.spotify.com/track/2e9N4vHYVUwSwRorBzsZXE
119,Moonlight,XXXTENTACION,68517,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
120,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",68096,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
121,KIKA,6ix9ine,67974,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
122,"in my head","Ariana Grande",67157,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw
123,"make up","Ariana Grande",66979,https://open.spotify.com/track/27356GVuMPFWiJSZCragoM
124,"Total Eclipse of The Heart","Bonnie Tyler",66774,https://open.spotify.com/track/4McRlwqJQIERlJFiJEgbP0
125,"No Cap",DigDat,66128,https://open.spotify.com/track/6lW3qM6vUkfwNwD5IMkZW8
126,"Desire (with Dimension)","Sub Focus",65879,https://open.spotify.com/track/507UUx311ghfFTMSuHUeyS
127,"Girls Like You (feat. Cardi B)","Maroon 5",65334,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
128,"Pumpy (feat. AJ x Deno, Swarmz & Cadet)","Da Beatfreakz",65314,https://open.spotify.com/track/2r7kFZo4Ua517FKCW39fo9
129,"Another One Bites The Dust - Remastered 2011",Queen,65126,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
130,"These Days",Rudimental,65104,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
131,"Play God","Sam Fender",64694,https://open.spotify.com/track/022k1qYIMWV20yW7tjiBv5
132,"It's Not Unusual","Tom Jones",64659,https://open.spotify.com/track/3TlIt0ReIxPsVZcOEivT5U
133,"I Like It","Cardi B",64430,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
134,187,Giggs,64313,https://open.spotify.com/track/1pgNAwH6CHimBR05NSAzNI
135,Money,"Cardi B",64214,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
136,"Last Hurrah","Bebe Rexha",64130,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
137,"Needed Time","Yxng Bane",63469,https://open.spotify.com/track/1k65BavLispRXs7vzBuRLV
138,"Gun Lean",RussMB,63134,https://open.spotify.com/track/4WYRFY0yFa2s1WeX0w84z6
139,idontwannabeyouanymore,"Billie Eilish",63042,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
140,"Never Enough","Loren Allred",62864,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
141,"Electricity (with Dua Lipa)","Silk City",62800,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
142,"No Sleep (feat. Bonn)","Martin Garrix",62510,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
143,"Best Life","Hardy Caprio",62373,https://open.spotify.com/track/3wAyZwtyyLMsJNG7Mb17ky
144,"Think About You",Kygo,62266,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P
145,"Wonderwall - Remastered",Oasis,62052,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
146,"Jocelyn Flores",XXXTENTACION,61324,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
147,"Ladbroke Grove","AJ Tracey",61248,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
148,"Perfect to Me",Anne-Marie,60951,https://open.spotify.com/track/0DC7Zs2qvAbNK1owWQ4mlL
149,"If You're Over Me","Years & Years",60554,https://open.spotify.com/track/0p3rzYD9XEIyBBx1QTwg4z
150,"Comfortable (feat. Dappy)",Yungen,60258,https://open.spotify.com/track/0bXcl7JnhraHGIqqilbQxI
151,"Better When You're Gone","David Guetta",60077,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
152,bellyache,"Billie Eilish",59821,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
153,"Dancing in the Moonlight",Toploader,59541,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
154,Kathleen,"Catfish and the Bottlemen",59262,https://open.spotify.com/track/1MHYAqWWdDRePmnqORynrq
155,Juice,Lizzo,59209,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir
156,Rise,"Jonas Blue",58772,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
157,Africa,TOTO,58621,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
158,"MIA (feat. Drake)","Bad Bunny",58484,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
159,"Empty Space","James Arthur",58372,https://open.spotify.com/track/1uru26I2JKd2mQZt0MDCUe
160,"Shape of You","Ed Sheeran",58158,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
161,Polaroid,"Jonas Blue",57758,https://open.spotify.com/track/6XqvFyJGdUD5IWee02ARKU
162,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",57613,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
163,"Under Pressure - Remastered",Queen,57412,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
164,"Sincerity Is Scary","The 1975",57297,https://open.spotify.com/track/6HguG9HRb1Ke1bhihfE4m8
165,"The Other Side","Hugh Jackman",56946,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
166,Ringtone,"Dr Vades",56748,https://open.spotify.com/track/4COAwTHS39iPVMQE3lZFfl
167,Budapest,"George Ezra",56581,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
168,"Solo (feat. Demi Lovato)","Clean Bandit",56572,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
169,"Too Good At Goodbyes","Sam Smith",56487,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
170,1999,"Charli XCX",56319,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8
171,"Boasty (feat. Idris Elba)",Wiley,56061,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
172,"Look Alive (feat. Drake)","BlocBoy JB",55960,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
173,Primadonna,MARINA,55815,https://open.spotify.com/track/02b5L9jExmkRTdUTqXFzmR
174,"Do I Wanna Know?","Arctic Monkeys",55703,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
175,TOOTIMETOOTIMETOOTIME,"The 1975",55599,https://open.spotify.com/track/33DzKnwuBE6lfOiADwzd5E
176,"ocean eyes","Billie Eilish",55540,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
177,Naive,"The Kooks",55470,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
178,"All I Am","Jess Glynne",55249,https://open.spotify.com/track/5GNjiM8jZCgbqjHklAcT9e
179,"Say You Won't Let Go","James Arthur",55118,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
180,Congratulations,"Post Malone",54738,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
181,"Power Over Me","Dermot Kennedy",54328,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
182,"It's Not Living (If It's Not With You)","The 1975",54326,https://open.spotify.com/track/3TgMcrV32NUKjEG2ujn9eh
183,"Don't Look Back in Anger - Remastered",Oasis,54221,https://open.spotify.com/track/0UvCh63URrLFcPkKt99hHd
184,IDGAF,"Dua Lipa",54042,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
185,breathin,"Ariana Grande",54029,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
186,Who?,"Digga D",53888,https://open.spotify.com/track/6aejlBi8bnw92tQ3shK5z0
187,"Everywhere - 2017 Remaster","Fleetwood Mac",53769,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
188,Unforgettable,"French Montana",53501,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
189,"New Rules","Dua Lipa",53419,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
190,"God is a woman","Ariana Grande",53041,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
191,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",53025,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
192,"What A Time (feat. Niall Horan)","Julia Michaels",52806,https://open.spotify.com/track/5WtfUKzXircvW8l5aaVZWT
193,"I Love It (& Lil Pump)","Kanye West",52433,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
194,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",52120,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
195,"Ay Caramba","Stay Flee Get Lizzy",52067,https://open.spotify.com/track/0mfEHC4z5a7533o7VNOH2c
196,"Have A Nice Day",Stereophonics,51431,https://open.spotify.com/track/6JWddKPdqvDc2WkPEi9grC
197,Perfect,"Ed Sheeran",50874,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
198,"From Now On","Hugh Jackman",50856,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
199,Mercy,Duffy,50829,https://open.spotify.com/track/1zusIxNqJu8i4g6P6hJ2Qa
200,"She Moves In Her Own Way","The Kooks",50784,https://open.spotify.com/track/5xoUgPXbMNUmoHU0Enwtwq
