,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"break up with your girlfriend, i'm bored","Ariana Grande",459364,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
2,"Someone You Loved","Lewis Capaldi",437434,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
3,"7 rings","Ariana Grande",432200,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
4,"Don't Call Me Up",Mabel,412653,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
5,"Giant (with Rag'n'Bone Man)","Calvin Harris",394151,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
6,Wow.,"Post Malone",363445,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,"Dancing With A Stranger (with Normani)","Sam Smith",303390,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
8,Shallow,"Lady Gaga",294178,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
9,Options,NSG,273934,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe
10,"bury a friend","Billie Eilish",264332,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",239383,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
12,"Sweet but Psycho","Ava Max",233347,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
13,"thank u, next","Ariana Grande",222945,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
14,"i'm so tired...",Lauv,212268,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
15,"MIDDLE CHILD","J. Cole",196856,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
16,"Going Bad (feat. Drake)","Meek Mill",190347,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
17,Talk,Khalid,183400,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
18,"Murder On My Mind","YNW Melly",182042,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
19,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",172257,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
20,"Just You and I","Tom Walker",165782,https://open.spotify.com/track/4Fvtl6P5d8h2lzzwhUCHHD
21,Happier,Marshmello,164000,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,Advice,Cadet,158443,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm
23,"Without Me",Halsey,155637,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,150074,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
25,Shotgun,"George Ezra",148314,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
26,Thotiana,Blueface,147706,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
27,"SICKO MODE","Travis Scott",146152,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
28,"Eastside (with Halsey & Khalid)","benny blanco",143130,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
29,"bad idea","Ariana Grande",139308,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
30,"Walk Me Home",P!nk,138127,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
31,"High Hopes","Panic! At The Disco",138115,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
32,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",136974,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
