,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,668170,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",428957,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,IDGAF,"Dua Lipa",393274,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
4,"All The Stars (with SZA)","Kendrick Lamar",389773,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY
5,FRIENDS,Marshmello,367326,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
6,"These Days",Rudimental,347401,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
7,Barking,Ramz,304343,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
8,"Feel It Still","Portugal. The Man",267386,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
9,"River (feat. Ed Sheeran)",Eminem,258999,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
10,"Pray For Me (with Kendrick Lamar)","The Weeknd",243046,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
11,"Look Alive (feat. Drake)","BlocBoy JB",242034,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
12,"This Is Me","Keala Settle",222426,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
13,"Never Be the Same","Camila Cabello",215049,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
14,"Fine Line (with Not3s)",Mabel,208773,https://open.spotify.com/track/3CmDfdlhSnRvoNeCwXWvh1
15,"My Lover - Radio Edit",Not3s,207194,https://open.spotify.com/track/0A9y4c4dkI68IEnsRGtWil
16,Breathe,"Jax Jones",206090,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
17,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",200951,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
18,rockstar,"Post Malone",192683,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
19,"Finesse - Remix; feat. Cardi B","Bruno Mars",188964,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
20,Mine,Bazzi,186183,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
21,"New Rules","Dua Lipa",184720,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
22,Strangers,Sigrid,182092,https://open.spotify.com/track/3fJaqjV813edLN5wrxUPkc
23,"Rewrite The Stars","Zac Efron",176397,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
24,Hangman,Dave,172311,https://open.spotify.com/track/7r7NTwtWAhPRtzylDu3hnE
25,"Havana (feat. Young Thug)","Camila Cabello",159445,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
26,"Tip Toe (feat. French Montana)","Jason Derulo",156350,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
27,"I Know You","Craig David",156280,https://open.spotify.com/track/5lRzEC0Hyj92nEr9JkDxM2
